City/Town,Country/Territory,Continent,Notes
Laayoune (declared),Western Sahara,Africa,"De facto independent state contested by both the Sahrawi Arab Democratic Republic (SADR), and Morocco. Laayoune is within Moroccan-controlled territory while Tifariti is within Sahrawi-controlled territory and serves as the temporary capital (previously Bir Lehlou). Some government and military buildings reside in exile in Tindouf, Algeria.[6] See also: Politics of the Sahrawi Arab Democratic Republic."
Tifariti (de facto),Western Sahara,Africa,"De facto independent state contested by both the Sahrawi Arab Democratic Republic (SADR), and Morocco. Laayoune is within Moroccan-controlled territory while Tifariti is within Sahrawi-controlled territory and serves as the temporary capital (previously Bir Lehlou). Some government and military buildings reside in exile in Tindouf, Algeria.[6] See also: Politics of the Sahrawi Arab Democratic Republic."
Libreville,Gabon,Africa,
Lilongwe,Malawi,Africa,
Lima,Peru,South America,"Cusco is declared the ""historical capital"" (Spanish: capital histórica), by Article 49 of the Peruvian Constitution, a merely symbolic statement. Arequipa is deemed the ""legal capital"" as it is the seat of the Constitutional Court."
Lisbon,Portugal,Europe,
Ljubljana,Slovenia,Europe,
Lobamba (royal and legislative),Eswatini,Africa,
Mbabane (administrative),Eswatini,Africa,
Lomé,Togo,Africa,
London,United Kingdom,Europe,"Prior to the Acts of Union in 1707, London was the capital of England only; Edinburgh was the capital of the Kingdom of Scotland. The United Kingdom includes the subdivisions of England (capital London), Scotland (capital Edinburgh), Wales (capital Cardiff), Northern Ireland (capital Belfast)."
London (administration),British Indian Ocean Territory,Asia,"British Overseas Territory. Officially, the British Indian Ocean Territory is administered from London,[7] though some consider the capital to be Diego Garcia.[8]"
Diego Garcia (de facto),British Indian Ocean Territory,Asia,"British Overseas Territory. Officially, the British Indian Ocean Territory is administered from London,[7] though some consider the capital to be Diego Garcia.[8]"
Luanda,Angola,Africa,
Lusaka,Zambia,Africa,
Luxembourg,Luxembourg,Europe,
Madrid,Spain,Europe,
Majuro,Marshall Islands,Oceania,"Self-governing in free association with the United States. The seat of government is at Delap-Uliga-Djarrit, a settlement on the atoll of Majuro."
Malabo,Equatorial Guinea,Africa,Ciudad de la Paz is currently under construction and will become the new capital when complete.[9]
Malé,Maldives,Asia,
Managua,Nicaragua,North America,
Manama,Bahrain,Asia,
Manila,Philippines,Asia,
Maputo,Mozambique,Africa,
Mariehamn,Åland Islands,Europe,Autonomous region of Finland.
Marigot,Saint Martin,North America,Overseas collectivity of France.
Maseru,Lesotho,Africa,
Mata Utu,Wallis and Futuna,Oceania,Overseas collectivity of France.
Mexico City,Mexico,North America,
Minsk,Belarus,Europe,
Mogadishu,Somalia,Africa,
Monaco,Monaco,Europe,"City-state. Monaco does not have a capital designated in its constitution; however, the Commune of Monaco, the country's only commune, is coterminous with the nation, making it the de facto capital.[10][11]"
Monrovia,Liberia,Africa,
Montevideo,Uruguay,South America,
Moroni,Comoros,Africa,
Moscow,Russia,Europe,
Muscat,Oman,Asia,
Nairobi,Kenya,Africa,
Nassau,"Bahamas, The",North America,
Naypyidaw,Myanmar,Asia,Yangon was the capital until 2006.[12] See also: List of capitals of Myanmar.
N'Djamena,Chad,Africa,
New Delhi,India,Asia,Calcutta was the capital of India until 1911 during the British Raj.
Ngerulmud,Palau,Oceania,Self-governing in free association with the United States. Koror City was the capital until 2006.
Niamey,Niger,Africa,
Nicosia,Cyprus,Asia,"Nicosia is a divided capital, split between Cyprus, which claims the whole city, and the internationally unrecognized breakaway state of Northern Cyprus."
Nicosia,Northern Cyprus,Asia,"Nicosia is a divided capital, split between Cyprus, which claims the whole city, and the internationally unrecognized breakaway state of Northern Cyprus."
Nouakchott,Mauritania,Africa,
Nouméa,New Caledonia,Oceania,Overseas territory of France.
Nukuʻalofa,Tonga,Oceania,
Nuuk,Greenland,North America,Self-governing country within the Kingdom of Denmark.
Oranjestad,Aruba,South America,Self-governing country within the Kingdom of the Netherlands.
Oslo,Norway,Europe,See also: List of historical capitals of Norway.
Ottawa,Canada,North America,
Ouagadougou,Burkina Faso,Africa,
Pago Pago,American Samoa,Oceania,Territory of the United States.
Palikir,Micronesia,Oceania,"Self-governing in free association with the United States. Kolonia is the former capital and Australia, China, Japan and the United States retain embassies there."
Panama City,Panama,North America,
Papeete,French Polynesia,Oceania,Overseas collectivity of France.
Paramaribo,Suriname,South America,
Paris,France,Europe,See also: List of Capitals of France.
Philipsburg,Sint Maarten,North America,Self-governing country within the Kingdom of the Netherlands.
Phnom Penh,Cambodia,Asia,
Podgorica,Montenegro,Europe,"Cetinje has been designated the ""Old Royal Capital"" and is the present seat of the President."
Port Louis,Mauritius,Africa,
Port Moresby,Papua New Guinea,Oceania,
Port of Spain,Trinidad and Tobago,South America,
Port Vila,Vanuatu,Oceania,
Port-au-Prince,Haiti,North America,
Prague,Czech Republic,Europe,The Supreme Court of the Czech Republic is located in Brno.[13]
Praia,Cape Verde,Africa,
Pristina,Kosovo,Europe,"De facto independent state claimed entirely by Serbia as part of its Autonomous Province of Kosovo and Metohija. Kosovo has de facto control over most of the territory, with limited control in North Kosovo."
Pyongyang,North Korea,Asia,
Quito,Ecuador,South America,"Highest official capital (2,850 m).[5]"
Rabat,Morocco,Africa,
Reykjavík,Iceland,Europe,
Riga,Latvia,Europe,
Riyadh,Saudi Arabia,Asia,
Road Town,British Virgin Islands,North America,British Overseas Territory.
Rome,Italy,Europe,
Roseau,Dominica,North America,
Rothera,British Antarctic Territory,Antarctica,British Overseas Territory
Saipan,Northern Mariana Islands,Oceania,"Territory of the United States. The seat of government is at Capitol Hill, a settlement on the island of Saipan."
San José,Costa Rica,North America,
San Juan,Puerto Rico,North America,Territory of the United States.
San Marino,San Marino,Europe,
San Salvador,El Salvador,North America,
Santiago,Chile,South America,The National Congress of Chile is located in Valparaíso.
Santo Domingo,Dominican Republic,North America,
São Tomé,São Tomé and Príncipe,Africa,
Sarajevo,Bosnia and Herzegovina,Europe,
Seoul,South Korea,Asia,"On 2 July 2012, some government functions moved to Sejong City, which became the de facto administrative capital."
Singapore,Singapore,Asia,City-state.
Skopje,North Macedonia,Europe,
Sofia,Bulgaria,Europe,
South Tarawa,Kiribati,Oceania,South Tarawa is a settlement on the atoll of Tarawa.
St. George's,Grenada,North America,
St. Helier,Jersey,Europe,British Crown Dependency.
St. John's,Antigua and Barbuda,North America,
St. Peter Port,Guernsey,Europe,British Crown Dependency.
St. Pierre,Saint Pierre and Miquelon,North America,Overseas collectivity of France.
Stanley,Falkland Islands,South America,British Overseas Territory.
Stepanakert,Artsakh,Asia/Europe,A former partially recognized state backed by Armenia and claimed entirely by Azerbaijan after the fall of Soviet Union. Legally reabsorbed by Azerbaijan on 1 January 2024.
Stockholm,Sweden,Europe,
Sukhumi,Abkhazia,Asia/Europe,De facto independent state with partial recognition claimed in whole by Georgia as the Autonomous Republic of Abkhazia.
Suva,Fiji,Oceania,
Taipei,Taiwan,Asia,"De facto independent state, officially called the Republic of China, it competition with the People's Republic of China for recognition as the sole Chinese government since 1949. Taiwan controls the island of Taiwan and the associated islands Quemoy, Matsu, the Pratas, and part of the Spratly Islands.[Note 1] Its territory is claimed in whole by the People's Republic of China.[Note 2] The Republic of China participates in a number of international organizations under a variety of pseudonyms, most commonly Chinese Taipei."
Tallinn,Estonia,Europe,
Tashkent,Uzbekistan,Asia,
Tbilisi,Georgia,Asia/Europe,"From 2012 to 2018, Kutaisi served as Georgia's legislative capital. Additionally, Mtskheta is sometimes called an ""ancient capital"" of Georgia.[14][15]"
Tegucigalpa,Honduras,North America,Comayagüela is declared in the Honduran Constitution as co-official capital with Tegucigalpa.[16] The cities have since merged into a single urban area.
Comayagüela,Honduras,North America,Comayagüela is declared in the Honduran Constitution as co-official capital with Tegucigalpa.[16] The cities have since merged into a single urban area.
Tehran,Iran,Asia,
Thimphu,Bhutan,Asia,
Tirana,Albania,Europe,
Tiraspol,Transnistria,Europe,"De facto independent state, recognized by only non UN members. Claimed in whole by Moldova as the autonomous territorial unit of Administrative-Territorial Units of the Left Bank of the Dniester"
Tokyo,Japan,Asia,See also: Capital of Japan.
Tórshavn,Faroe Islands,Europe,Self-governing country within the Kingdom of Denmark.
Tripoli,Libya,Africa,
Tskhinvali,South Ossetia,Asia/Europe,De facto independent state with limited recognition. Claimed in whole by Georgia as the Provisional Administration of South Ossetia.
Tunis,Tunisia,Africa,
Ulaanbaatar,Mongolia,Asia,
Vaduz,Liechtenstein,Europe,
Valletta,Malta,Europe,
The Valley,Anguilla,North America,British Overseas Territory.
Vatican City,Vatican City,Europe,City-state.
Victoria,Seychelles,Africa,
Vienna,Austria,Europe,
Vientiane,Laos,Asia,
Vilnius,Lithuania,Europe,
Warsaw,Poland,Europe,Former capitals listed in Template:Historical capitals of Poland.
"Washington, D.C.",United States,North America,The capital of the United States has moved several times. See also: National capitals of the United States.
Wellington,New Zealand,Oceania,Since 1865. Wellington is New Zealand's third capital. See also: Capital of New Zealand.
West Island,Cocos (Keeling) Islands,,External territory of Australia.
Willemstad,Curaçao,,Self-governing country within the Kingdom of the Netherlands.
Windhoek,Namibia,Africa,
Yaoundé,Cameroon,Africa,
Yaren (de facto),Nauru,Oceania,"Nauru has no official capital, nor cities; the government offices are in Yaren district."
Yerevan,Armenia,Asia/Europe,
Zagreb,Croatia,Europe,
